Departamento ;Municipios;Superficie;Tasa Homicidio 2020;IDH 2020;Población;Densidad
 Amazonas ;2;109665;22,05;0,717;78830;0,718825514
 Antioquia;125;63612;28,72;0,772;6407977;100,7353487
 Arauca;7;23818;36,2;0,74;270708;11,36568981
 Atlántico;23;3019;22,73;0,786;2546138;843,371315
 Bolívar;45;25978;19,37;0,756;2171558;83,59219339
 Boyacá ;123;23012;8,37;0,76;1281979;55,70915175
 Caldas;27;7888;21,72;0,778;993870;125,9977181
 Caquetá;16;88965;29,35;0,717;496262;5,578171191
 Casanare;19;44490;23,99;0,75;375258;8,434659474
 Cauca;41;29308;39,23;0,719;1416145;48,31940085
 Cesar;25;22905;17,38;0,729;1065637;46,52420869
 Chocó;31;46530;39,6;0,696;515166;11,07169568
 Córdoba;30;25020;19,24;0,716;1788648;71,48872902
 Cundinamarca;116;24210;16,59;0,774;3250238;134,2518794
 Guainía;2;72238;2,37;0,67;43446;0,601428611
 Guaviare;4;52957;19,53;0,755;115829;2,187227373
 Huila;37;19890;21,64;0,726;1197049;60,18345902
 La Guajira;15;20848;20,19;0,695;1040193;49,89413853
 Magdalena;30;23188;15,96;0,726;1298562;56,00146628
 Meta;29;85635;30,83;0,778;1016672;11,87215508
 Nariño;64;32820;25,76;0,722;1809301;55,12800122
 Norte de Santander;40;21648;38,75;0,75;1391366;64,27226534
 Putumayo;13;24885;30,33;0,717;358896;14,42218204
 Quindío;12;1845;46,44;0,784;574960;311,6314363
 Risaralda;14;4140;29,67;0,761;967780;233,763285
 San Andrés y Providencia;2;52;15,56;0,789;78413;1507,942308
 Santander;87;30537;13,09;0,778;2090854;68,46952877
 Sucre;26;10670;13,95;0,744;877024;82,19531396
 Tolima;47;23562;23,23;0,747;1419957;60,26470588
 Valle del Cauca;42;22195;51,18;0,791;4755760;214,2716828
 Vaupés;3;54135;4,54;0,639;44928;0,829925187
 Vichada;4;100947;23,07;0,754;77276;0,765510614
