Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16060.000000,16180.000000,16000.000000,16180.000000,12644.309570,11950800
2010-01-05,16520.000000,16580.000000,16300.000000,16440.000000,12847.491211,27925850
2010-01-06,16580.000000,16820.000000,16520.000000,16820.000000,13144.457031,22948850
2010-01-07,16820.000000,16820.000000,16260.000000,16260.000000,12706.829102,22107950
2010-01-08,16400.000000,16420.000000,16120.000000,16420.000000,12831.864258,14777550
2010-01-11,16420.000000,16460.000000,15940.000000,15940.000000,12456.751953,19896100
2010-01-12,15940.000000,16180.000000,15900.000000,16180.000000,12644.309570,19218050
2010-01-13,16100.000000,16120.000000,15940.000000,15940.000000,12456.751953,13375300
2010-01-14,16120.000000,16620.000000,16000.000000,16540.000000,12925.642578,26551550
2010-01-15,16640.000000,16860.000000,16580.000000,16840.000000,13160.085938,19905600
2010-01-18,16800.000000,16920.000000,16560.000000,16860.000000,13175.711914,13060400
2010-01-19,17000.000000,17000.000000,16440.000000,16460.000000,12863.122070,12041250
2010-01-20,16460.000000,16740.000000,16460.000000,16680.000000,13035.045898,19200850
2010-01-21,16400.000000,17000.000000,16400.000000,17000.000000,13285.120117,16990100
2010-01-22,16800.000000,16900.000000,16360.000000,16500.000000,12894.383789,23460500
2010-01-25,16320.000000,16960.000000,16300.000000,16840.000000,13160.085938,20578400
2010-01-26,16920.000000,16920.000000,16240.000000,16300.000000,12738.088867,18722300
2010-01-27,16300.000000,16340.000000,16000.000000,16000.000000,12503.642578,18516150
2010-01-28,16160.000000,16300.000000,16060.000000,16160.000000,12628.681641,13795800
2010-01-29,16000.000000,16020.000000,15600.000000,15680.000000,12253.570313,22854100
2010-02-01,15680.000000,15700.000000,15300.000000,15540.000000,12144.164063,25037200
2010-02-02,15800.000000,15800.000000,15400.000000,15440.000000,12066.014648,19677150
2010-02-03,15640.000000,15700.000000,15360.000000,15540.000000,12144.164063,16467700
2010-02-04,15500.000000,15660.000000,15440.000000,15520.000000,12128.532227,11971700
2010-02-05,15160.000000,15220.000000,14940.000000,15000.000000,11722.167969,25705750
2010-02-08,14940.000000,15080.000000,14820.000000,14960.000000,11690.904297,21891500
2010-02-09,14960.000000,15220.000000,14840.000000,15220.000000,11894.088867,16834200
2010-02-10,15260.000000,15280.000000,15040.000000,15100.000000,11800.313477,13174200
2010-02-11,15140.000000,15300.000000,15120.000000,15260.000000,11925.348633,13208300
2010-02-12,15340.000000,15340.000000,14900.000000,15000.000000,11722.167969,22879300
2010-02-16,15000.000000,15180.000000,14960.000000,15120.000000,11815.942383,7723550
2010-02-17,15440.000000,15580.000000,15280.000000,15580.000000,12175.425781,13997150
2010-02-18,15580.000000,15620.000000,15440.000000,15500.000000,12112.906250,7251900
2010-02-19,15380.000000,15540.000000,15180.000000,15200.000000,11878.460938,11094000
2010-02-22,15440.000000,15560.000000,15400.000000,15460.000000,12081.644531,11580550
2010-02-23,15480.000000,15480.000000,15120.000000,15340.000000,11987.869141,12568850
2010-02-24,15180.000000,15220.000000,15000.000000,15040.000000,11753.425781,15052500
2010-02-25,15080.000000,15160.000000,14680.000000,14720.000000,11503.351563,19273900
2010-02-26,14800.000000,14960.000000,14660.000000,14880.000000,11628.385742,15576350
2010-03-02,15220.000000,15480.000000,15120.000000,15400.000000,12034.755859,23494700
2010-03-03,15420.000000,15460.000000,15260.000000,15420.000000,12050.386719,9713550
2010-03-04,15420.000000,15440.000000,15120.000000,15220.000000,11894.088867,10205050
2010-03-05,15260.000000,15500.000000,15260.000000,15500.000000,12112.906250,11754700
2010-03-08,15800.000000,15840.000000,15700.000000,15720.000000,12284.832031,19563300
2010-03-09,15740.000000,15740.000000,15540.000000,15720.000000,12284.832031,12211750
2010-03-10,15720.000000,15740.000000,15560.000000,15680.000000,12253.570313,11367600
2010-03-11,15800.000000,15880.000000,15560.000000,15560.000000,12159.792969,19631000
2010-03-12,15560.000000,15680.000000,15420.000000,15560.000000,12159.792969,9997950
2010-03-15,15640.000000,15660.000000,15280.000000,15360.000000,12003.498047,11156550
2010-03-16,15360.000000,15400.000000,15160.000000,15300.000000,11956.607422,16548150
2010-03-17,15440.000000,15960.000000,15420.000000,15960.000000,12472.380859,21840650
2010-03-18,15900.000000,16140.000000,15900.000000,15940.000000,12456.751953,15393500
2010-03-19,16020.000000,16140.000000,15960.000000,16080.000000,12566.161133,10711200
2010-03-22,16060.000000,16080.000000,15840.000000,16020.000000,12519.275391,9191800
2010-03-23,16140.000000,16300.000000,16100.000000,16180.000000,12644.309570,9923300
2010-03-24,16300.000000,16500.000000,16260.000000,16380.000000,12800.606445,15926950
2010-03-25,16300.000000,16440.000000,16180.000000,16380.000000,12800.606445,9481650
2010-03-26,16460.000000,16500.000000,16240.000000,16400.000000,12816.231445,10481650
2010-03-29,16200.000000,16500.000000,16200.000000,16360.000000,12784.978516,7756350
2010-03-30,16540.000000,16580.000000,16240.000000,16280.000000,12722.456055,12042400
2010-03-31,16280.000000,16680.000000,16260.000000,16360.000000,12784.978516,21699800
2010-04-01,16520.000000,16900.000000,16480.000000,16900.000000,13206.974609,28068050
2010-04-02,16920.000000,17200.000000,16820.000000,17140.000000,13394.527344,20907050
2010-04-05,17220.000000,17400.000000,17140.000000,17400.000000,13597.710938,15201700
2010-04-06,17480.000000,17500.000000,17220.000000,17380.000000,13582.083008,16494250
2010-04-07,17300.000000,17380.000000,17040.000000,17180.000000,13425.785156,19418550
2010-04-08,17140.000000,17260.000000,17060.000000,17260.000000,13488.303711,13447700
2010-04-09,17280.000000,17320.000000,16960.000000,17120.000000,13378.900391,13757650
2010-04-12,17180.000000,17200.000000,16540.000000,16600.000000,12972.530273,24897000
2010-04-13,16680.000000,16680.000000,16300.000000,16560.000000,12941.269531,20446350
2010-04-14,16700.000000,16940.000000,16660.000000,16900.000000,13206.974609,15369350
2010-04-15,17240.000000,17240.000000,16880.000000,17100.000000,13363.266602,18248400
2010-04-16,17100.000000,17160.000000,16820.000000,16960.000000,13253.862305,11003100
2010-04-19,16740.000000,16800.000000,16520.000000,16540.000000,12925.642578,12357100
2010-04-20,16540.000000,16640.000000,16420.000000,16560.000000,12941.269531,13571500
2010-04-21,16760.000000,17060.000000,16700.000000,17040.000000,13316.383789,13200200
2010-04-22,16980.000000,16980.000000,16660.000000,16820.000000,13144.457031,17161750
2010-04-23,16960.000000,16960.000000,16560.000000,16600.000000,12972.530273,15442000
2010-04-26,16700.000000,16840.000000,16600.000000,16680.000000,13035.045898,13009350
2010-04-27,16620.000000,16760.000000,16540.000000,16700.000000,13050.681641,13040500
2010-04-28,16400.000000,16500.000000,16360.000000,16500.000000,12894.383789,16007500
2010-04-29,16600.000000,16620.000000,16320.000000,16500.000000,12894.383789,11337150
2010-04-30,16560.000000,17040.000000,16540.000000,16980.000000,13269.490234,22710850
2010-05-03,16900.000000,16900.000000,16540.000000,16580.000000,12956.903320,14553900
2010-05-04,16800.000000,16860.000000,16600.000000,16680.000000,13035.045898,9138450
2010-05-06,16340.000000,16380.000000,16200.000000,16280.000000,12722.456055,22570150
2010-05-07,15960.000000,15980.000000,15760.000000,15880.000000,12409.864258,37887000
