"";"price";"malt";"type";"aging";"taste"
"1";70;20;"low";5;3
"2";60;20;"low";5;2
"3";65;20;"low";7,5;2
"4";74;25;"low";12;2
"5";70;25;"low";12;3
"6";73;30;"low";5;0
"7";70;30;"low";8;0
"8";55;30;"low";5;2
"9";77;30;"low";5,5;0
"10";93;30;"low";12;0
"11";82;30;"low";12;2
"12";73;33;"med";6,5;1
"13";62;33;"med";8;3
"14";87;33;"med";12;3
"15";78;35;"med";10;2
"16";73;40;"med";10,5;4
"17";87;40;"med";8,5;2
"18";80;40;"med";8,5;2
"19";85;40;"med";9,5;2
"20";87;40;"med";8,5;4
"21";80;40;"med";9,5;2
"22";83;40;"med";9,5;1
"23";90;40;"med";12,5;2
"24";110;40;"med";12;3
"25";87;40;"med";5,5;2
"26";113;45;"med";12;4
"27";96;45;"med";12;3
"28";82;45;"med";12;3
"29";127;100;"pure";8,5;4
"30";160;100;"pure";12;3
"31";90;100;"pure";12;4
"32";86;100;"pure";12;2
"33";100;100;"pure";10;3
"34";100;100;"pure";11;3
"35";95;100;"pure";12;0
